PS Name,Year,FIR Number, No of Person Arrested,Status of the case
Surathkal,2014,241,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,242,0,UI
Surathkal,2014,243,0,PT
Surathkal,2014,244,0,UI
Surathkal,2014,245,0,UI
Surathkal,2014,246,0,C report
Surathkal,2014,247,0,UI
Surathkal,2014,248,0,Traced
Surathkal,2014,249,0,UI
Surathkal,2014,250,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,251,9,Chargesheet Submitted awaiting CC 
Surathkal,2014,252,0,B report
Surathkal,2014,253,1,UI
Surathkal,2014,254,3,Chargesheet Submitted awaiting CC 
Surathkal,2014,255,0,Traced
Surathkal,2014,256,2,Chargesheet Submitted awaiting CC 
Surathkal,2014,257,0,UI
Surathkal,2014,258,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,259,1,PT
Surathkal,2014,260,1,PT
Surathkal,2014,261,0,UI
Surathkal,2014,262,0,UI
Surathkal,2014,263,1,UI
Surathkal,2014,264,2,PT
Surathkal,2014,265,1,PT
Surathkal,2014,266,0,UI
Surathkal,2014,267,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,268,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,269,0,UI
Surathkal,2014,270,0,Traced
Surathkal,2014,271,0,UI
Surathkal,2014,272,1,UI
Surathkal,2014,273,1,Chargesheet Submitted awaiting CC 
Surathkal,2014,274,0,UI
Surathkal,2014,275,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,276,0,UI
Surathkal,2014,277,5,UI
Surathkal,2014,278,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,279,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,280,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,281,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,282,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,283,0,UI
Surathkal,2014,284,2,Chargesheet Submitted awaiting CC 
Surathkal,2014,285,1,UI
Surathkal,2014,286,1,UI
Surathkal,2014,287,2,UI
Surathkal,2014,288,0,UI
Surathkal,2014,289,0,Bondover
Surathkal,2014,290,0,Bondover
Surathkal,2014,291,0,Bondover
Surathkal,2014,292,2,UI
Surathkal,2014,293,0,Traced
Surathkal,2014,294,0,UI
Surathkal,2014,295,0,B report
Surathkal,2014,296,0,UI
Surathkal,2014,297,6,UI
Surathkal,2014,298,0,UI
Surathkal,2014,299,1,UI
Surathkal,2014,300,0,UI
Surathkal,2014,301,0,Bondover
Surathkal,2014,302,0,Bondover
Surathkal,2014,303,0,Bondover
Surathkal,2014,304,0,Chargesheet Submitted awaiting CC 
Surathkal,2014,305,0,UI
,,,,
PS NAME ,YEAR,FIR NUMBER,NO OF PERSON ARRESTED,STATUS OF THE CASE
Surathkal,2015,1,2,Chargesheet Submitted awaiting CC
Surathkal,2015,2,6,Chargesheet Submitted awaiting CC
Surathkal,2015,3,0,UI
Surathkal,2015,4,0,Traced
Surathkal,2015,5,2,UI
Surathkal,2015,6,0,UI
Surathkal,2015,7,0,UI
Surathkal,2015,8,1,UI
Surathkal,2015,9,0,B report
Surathkal,2015,10,0,UI
Surathkal,2015,11,3,Chargesheet Submitted awaiting CC
Surathkal,2015,12,0,Traced
Surathkal,2015,13,1,UI
Surathkal,2015,14,0,UI
Surathkal,2015,15,0,Traced
Surathkal,2015,16,0,UI
Surathkal,2015,17,0,UI
Surathkal,2015,18,0,UI
Surathkal,2015,19,0,Traced
Surathkal,2015,20,0,UI
Surathkal,2015,21,4,UI
Surathkal,2015,22,0,UI
Surathkal,2015,23,0,UI
Surathkal,2015,24,2,UI
Surathkal,2015,25,0,UI
Surathkal,2015,26,2,UI
Surathkal,2015,27,5,UI
Surathkal,2015,28,0,UI
Surathkal,2015,29,7,UI
Surathkal,2015,30,14,Chargesheet Submitted awaiting CC
Surathkal,2015,31,5,UI
Surathkal,2015,32,0,UI
Surathkal,2015,33,0,UI
Surathkal,2015,34,0,UI
Surathkal,2015,35,1,UI
Surathkal,2015,36,0,Traced
Surathkal,2015,37,0,UI
Surathkal,2015,38,0,Traced
Surathkal,2015,39,1,UI
Surathkal,2015,40,0,UI
Surathkal,2015,41,3,UI
Surathkal,2015,42,0,UI
Surathkal,2015,43,0,UI
Surathkal,2015,44,0,UI
Surathkal,2015,45,0,Traced
Surathkal,2015,46,0,UI
Surathkal,2015,47,0,UI
Surathkal,2015,48,0,UI
Surathkal,2015,49,0,UI
Surathkal,2015,50,0,UI
Surathkal,2015,51,0,UI
Surathkal,2015,52,0,UI
Surathkal,2015,53,0,UI
